timestamp,clones,unique_clones,views,unique_views
2025-03-07T00:00:00Z,1,1,1,1
2025-03-08T00:00:00Z,1,1,0,0
2025-03-10T00:00:00Z,8,7,12,4
2025-03-11T00:00:00Z,2,2,8,2
2025-03-12T00:00:00Z,0,0,6,3
2025-03-13T00:00:00Z,0,0,13,3
2025-03-14T00:00:00Z,2,2,29,6
2025-03-16T00:00:00Z,0,0,2,1
2025-03-17T00:00:00Z,2,2,4,1
2025-03-19T00:00:00Z,0,0,32,4
2025-03-20T00:00:00Z,7,5,0,0
2025-03-21T00:00:00Z,0,0,1,1
2025-03-22T00:00:00Z,1,1,0,0
2025-03-24T00:00:00Z,5,4,6,2
2025-03-25T00:00:00Z,1,1,1,1
2025-03-26T00:00:00Z,0,0,12,4
2025-03-28T00:00:00Z,1,1,0,0
2025-03-29T00:00:00Z,2,2,3,1
2025-03-30T00:00:00Z,3,3,4,1
2025-03-31T00:00:00Z,4,4,7,2
2025-04-02T00:00:00Z,0,0,4,1
2025-04-03T00:00:00Z,0,0,5,1
2025-04-04T00:00:00Z,0,0,4,1
2025-04-05T00:00:00Z,2,2,0,0
2025-04-07T00:00:00Z,3,3,33,4
2025-04-08T00:00:00Z,5,4,18,5
2025-04-09T00:00:00Z,0,0,2,1
2025-04-11T00:00:00Z,0,0,2,1
2025-04-12T00:00:00Z,1,1,0,0
2025-04-13T00:00:00Z,0,0,2,2
2025-04-14T00:00:00Z,5,4,1,1
2025-04-15T00:00:00Z,0,0,34,5
2025-04-16T00:00:00Z,1,1,1,1
2025-04-17T00:00:00Z,0,0,7,2
2025-04-18T00:00:00Z,1,1,0,0
2025-04-19T00:00:00Z,1,1,1,1
2025-04-20T00:00:00Z,1,1,0,0
2025-04-21T00:00:00Z,5,3,0,0
2025-04-23T00:00:00Z,3,2,7,2
2025-04-24T00:00:00Z,0,0,1,1
